adulteration_id,product_name,brand,category,adulterant,detection_date,detection_method,severity,health_risk,action_taken
1.0,Butter,BrandB,Meat,Artificial sweeteners,5/11/2024,Microbiological Analysis,Moderate,Low,Product Recall
2.0,Chicken,BrandC,Dairy,Coloring agents,5/23/2024,Sensory Evaluation,Severe,Medium,Warning Issued
3.0,Yogurt,BrandC,Meat,Artificial sweeteners,2/17/2024,Sensory Evaluation,Severe,High,Investigation Launched
4.0,Wine,BrandB,Beverages,Coloring agents,5/16/2024,Spectroscopy,Minor,Medium,Product Recall
5.0,Bread,BrandD,Dairy,Water,6/6/2024,Chemical Analysis,Severe,Medium,Warning Issued
6.0,Wine,BrandD,Dairy,Melamine,5/12/2024,Microbiological Analysis,Severe,Medium,Investigation Launched
7.0,Beef,BrandC,Meat,Melamine,4/1/2024,Chemical Analysis,Minor,Medium,Investigation Launched
8.0,Juice,BrandD,Beverages,Melamine,3/18/2024,Chemical Analysis,Moderate,High,Fine Imposed
9.0,Chicken,BrandC,Meat,Artificial sweeteners,6/14/2024,Microbiological Analysis,Minor,Low,Investigation Launched
10.0,Milk,BrandA,Bakery,Melamine,4/23/2024,Spectroscopy,Moderate,Medium,Fine Imposed
11.0,Cheese,BrandA,Beverages,Coloring agents,2/25/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
12.0,Milk,BrandA,Condiments,Melamine,3/7/2024,Sensory Evaluation,Moderate,Low,Warning Issued
13.0,Bread,BrandC,Dairy,Chalk,4/1/2024,Chemical Analysis,Minor,High,Product Recall
14.0,Beef,BrandA,Meat,Chalk,6/13/2024,Chemical Analysis,Moderate,Medium,Warning Issued
15.0,Juice,BrandA,Condiments,Melamine,4/13/2024,Sensory Evaluation,Severe,Low,Investigation Launched
16.0,Honey,BrandB,Bakery,Melamine,5/13/2024,Spectroscopy,Minor,Medium,Investigation Launched
17.0,Wine,BrandE,Beverages,Melamine,4/7/2024,Chemical Analysis,Severe,Low,Product Recall
18.0,Yogurt,BrandB,Bakery,Chalk,6/10/2024,Spectroscopy,Moderate,High,Investigation Launched
19.0,Honey,BrandE,Beverages,Melamine,3/3/2024,Spectroscopy,Minor,Medium,Fine Imposed
20.0,Honey,BrandC,Condiments,Coloring agents,4/19/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
21.0,Wine,BrandE,Dairy,Coloring agents,4/19/2024,Spectroscopy,Moderate,Medium,Fine Imposed
22.0,Cheese,BrandA,Dairy,Melamine,3/18/2024,Microbiological Analysis,Moderate,High,Fine Imposed
23.0,Wine,BrandD,Beverages,Coloring agents,2/5/2024,Spectroscopy,Severe,Low,Product Recall
24.0,Milk,BrandE,Meat,Melamine,3/17/2024,Sensory Evaluation,Minor,Medium,Warning Issued
